品名,波動率,平均價格,分群
萵苣莖,114.34,877.19,4
芋,132.88,2227.54,0
荸薺,132.74,144.64,0
豆薯,125.06,1683.21,0
菊芋,125.72,256.12,0
牛蒡,87.37,354.81,3
蓮藕,129.33,625.13,0
甘薯,117.94,3474.74,4
薑,122.62,1915.91,0
茭白筍,99.94,2191.22,4
菱角,61.62,579.34,1
大心菜,122.72,3064.19,0
蕎頭,77.54,41.27,3
薯蕷,94.53,791.02,3
蘆筍,97.76,571.06,4
球莖甘藍,114.79,4392.43,4
芽菜類,49.14,1405.57,1
半天筍,73.17,29.38,3
甘蔗筍,91.88,26.67,3
金針筍,85.79,16.32,3
草石蠶,98.4,26.93,4
半天花,49.26,42.63,1
晚香玉筍,91.02,52.74,3
西瓜,109.07,10255.13,4
甜瓜,111.05,2723.98,4
洋香瓜,123.87,1918.57,0
蘋果,161.67,7781.07,0
桃子,115.61,1175.33,4
水蜜桃,114.88,309.02,4
甜桃,111.85,1305.34,4
柿子,120.81,1959.35,4
柿餅,110.24,74.84,4
